Title Code,Title Description,Total Positions using this Title,Unique Positions using this Title,Agencies using this Title,In Civil List Active,In Civil List,Full Description,Effective Date,Databook Link
1000B,ADMINISTRATIVE ACCOUNTANT (NON,97,37,18,No,Yes,No,,https://databook.nyc/t/1000B
1000C,ADMINISTRATIVE BUSINESS PROMOT,23,11,6,No,Yes,No,,https://databook.nyc/t/1000C
1000D,ADMINISTRATIVE GRAPHIC ARTIST,22,14,12,No,Yes,No,,https://databook.nyc/t/1000D
10010,ADMINISTRATIVE MANAGEMENT AUDI,38,16,13,Yes,Yes,No,,https://databook.nyc/t/10010
10014,ADMINISTRATIVE CONSULTANT (EAR,5,2,1,No,Yes,Yes,6/16/1982,https://databook.nyc/t/10014
10015,ADMINISTRATIVE ENGINEER,254,27,13,Yes,Yes,Yes,9/23/2020,https://databook.nyc/t/10015
10016,ADMINISTRATIVE DIRECTOR OF RES,7,3,1,No,Yes,No,,https://databook.nyc/t/10016
10018,ADMINISTRATIVE HOUSING MANAGER,0,0,0,Yes,Yes,Yes,3/13/1974,https://databook.nyc/t/10018
10019,ADMINISTRATIVE HOUSING SUPERIN,0,0,0,Yes,Yes,Yes,,https://databook.nyc/t/10019
1001A,ADM ENGINEER (NON MGRL),196,21,11,No,Yes,No,,https://databook.nyc/t/1001A
1001B,ADMINISTRATIVE DIRECTOR OF RES,43,3,1,No,Yes,No,,https://databook.nyc/t/1001B
1001C,ADMINISTRATIVE MANAGEMENT AUDI,63,25,16,No,Yes,No,,https://databook.nyc/t/1001C
1001D,ADMINISTRATIVE HOUSING SUPERIN,0,0,0,No,Yes,No,,https://databook.nyc/t/1001D
10020,ADMINISTRATIVE INVESTIGATOR,12,5,5,Yes,Yes,No,,https://databook.nyc/t/10020
10022,ADMINISTRATIVE COMMUNITY RELAT,87,43,25,Yes,Yes,Yes,1/7/1981,https://databook.nyc/t/10022
10023,ADMINISTRATIVE LANDSCAPE ARCHI,4,2,2,No,Yes,No,,https://databook.nyc/t/10023
10024,ADMINISTRATIVE FIRE PROTECTION,2,1,1,No,Yes,No,,https://databook.nyc/t/10024
10025,ADMINISTRATIVE MANAGER,105,46,30,Yes,Yes,Yes,5/20/2020,https://databook.nyc/t/10025
10026,ADMINISTRATIVE STAFF ANALYST,481,104,44,Yes,Yes,Yes,9/4/2024,https://databook.nyc/t/10026
10028,ADMINISTRATIVE NUTRITIONIST,5,3,3,No,Yes,Yes,7/13/1973,https://databook.nyc/t/10028
10029,ADMINISTRATIVE PROBATION OFFIC,28,2,1,Yes,Yes,Yes,11/10/1976,https://databook.nyc/t/10029
1002A,ADMINISTRATIVE STAFF ANALYST (,661,99,36,No,Yes,No,,https://databook.nyc/t/1002A
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,1367,119,41,No,Yes,No,,https://databook.nyc/t/1002C
1002D,ADMINISTRATIVE STAFF ANALYST (,426,80,28,No,Yes,No,,https://databook.nyc/t/1002D
1002E,ADMINISTRATIVE STAFF ANALYST,192,56,25,No,Yes,No,,https://databook.nyc/t/1002E
1002F,ADMIN COMMUNITY RELATIONS SPEC,388,68,28,No,Yes,No,,https://databook.nyc/t/1002F
1002G,ADM LANDSCAPE ARCHITECT (NM),2,1,1,No,Yes,No,,https://databook.nyc/t/1002G
1002H,ADMINISTRATIVE FIRE PROTECTION,12,1,1,No,Yes,No,,https://databook.nyc/t/1002H
1002I,ADMINISTRATIVE INVESTIGATOR (N,40,7,6,No,Yes,No,,https://databook.nyc/t/1002I
10031,ADMINISTRATIVE EDUCATION ANALY,187,9,1,Yes,Yes,Yes,6/6/2018,https://databook.nyc/t/10031
