nycha_vendor_name,passport_supplier_id,note
SDL GLOBAL SOLUTIONS,-,reviewed 2026-07-25: NOT GLOBAL SOLUTIONS GROUP INC (#1971651)
GTM RENOVATION INC,-,reviewed 2026-07-25: NOT GK RENOVATION INC (#2026400)
SAI REMODELING INC,-,reviewed 2026-07-25: NOT SR REMODELING CORP (#1904780)
AMERICAN PLANNING ASSOCIATION,-,reviewed 2026-07-25: NOT AMERICAN LUNG ASSOCIATION (#1886977)
S & E BUILDING MATERIALS CO INC,-,reviewed 2026-07-25: NOT ASIA BUILDING MATERIALS INC (#1737557)
OFFICE EQUIPMENT CO.,-,reviewed 2026-07-25: NOT B & F OFFICE EQUIPMENT CO. INC (#1633395)
PALACE PLUMBING SUPPLY,-,reviewed 2026-07-25: NOT Pauls Plumbing Supply Inc (#2055752)
COASTAL PLUMBING SUPPLY INC,-,reviewed 2026-07-25: NOT STAT PLUMBING SUPPLY INC (#1646419)
SCAN TECH SERVICES CORP,-,reviewed 2026-07-25: NOT at tech services inc (#1955389)
"AVI MOVING & TRUCKING, INC.",-,reviewed 2026-07-25: NOT MOVING & TRUCKING INC (#2023092)
PARDUS ENVIRONMENTAL CONSULTING LTD,-,reviewed 2026-07-25: NOT BAY ENVIRONMENTAL CONSULTING LLC (#1869272)
O.S. ELEVATOR INC,-,reviewed 2026-07-25: NOT OTIS ELEVATOR COMPANY (#1634966)
PRIME ELECTRIC CORP.,-,reviewed 2026-07-25: NOT RM ELECTRIC CO INC (#1750570)
ONSET COMPUTER CORPORATION,-,reviewed 2026-07-25: NOT RMS COMPUTER CORPORATION (#1638336)
MEDIA PARTNERS CORPORATION,-,reviewed 2026-07-25: NOT SND PARTNERS CORPORATION (#1655363)
SMART SOURCE TECHNOLOGIES INC,-,reviewed 2026-07-25: NOT RIGHT SOURCE TECHNOLOGIES INC (#1969773)
CONSTRUCTION MANAGEMENT ASSOCIATION OF AMERICA,-,reviewed 2026-07-25: NOT CONSTRUCTION MANAGEMENT ASSOC. OF AMERICA (CMAA) (#1687422)
TOTAL FIRE PROTECTION,-,reviewed 2026-07-25: NOT TYCO FIRE PROTECTION LLC (#1652600)
AQUA PLUMBING SUPPLY CORP.,-,reviewed 2026-07-25: NOT Pauls Plumbing Supply Inc (#2055752)
A & M INDUSTRIAL SUPPLY CO,-,"reviewed 2026-07-25: NOT BC Industrial Supply, Inc. (#2038376)"
